Dia,Mês,Ano,Cepagri,IAC
16,11,1990,22,22
17,11,1990,20,20.4
18,11,1990,19.8,19.6
19,11,1990,20.8,20.2
20,11,1990,21.2,20.8
21,11,1990,19.4,19
22,11,1990,19,20
23,11,1990,18,19.4
24,11,1990,18,19.4
25,11,1990,16.8,18.2
26,11,1990,17.4,18.2
27,11,1990,20.2,19.2
28,11,1990,17.6,17.4
29,11,1990,16.2,16.2
30,11,1990,16.7,17
1,12,1990,20.6,20
2,12,1990,20.4,20.2
3,12,1990,21.6,21.2
4,12,1990,20.7,20.2
5,12,1990,21.2,21
6,12,1990,20.1,19.4
7,12,1990,22.6,22.4
8,12,1990,19,19.1
9,12,1990,18,17.6
10,12,1990,20,18.8
11,12,1990,20.6,20
12,12,1990,22,21.6
13,12,1990,22.6,21.8
14,12,1990,21.9,21.4
15,12,1990,17.6,17.2
16,12,1990,20,19.4
17,12,1990,18.6,17.8
18,12,1990,19.8,19.4
19,12,1990,19.7,19.8
20,12,1990,19.1,18.6
21,12,1990,19.6,19.6
22,12,1990,17.8,18.6
23,12,1990,19.6,18.4
24,12,1990,19.2,19.2
25,12,1990,19.6,19.8
26,12,1990,16.8,17.6
27,12,1990,18.2,18.4
28,12,1990,17,17
29,12,1990,13.8,18.2
30,12,1990,11.6,11.2
31,12,1990,15,14.8
1,1,1991,16.8,16.6
2,1,1991,18.8,18.4
3,1,1991,18.4,19
4,1,1991,19.7,19
5,1,1991,16.6,16.8
6,1,1991,17,17.6
7,1,1991,18.6,19.4
8,1,1991,19.1,19.2
9,1,1991,20.8,20.6
10,1,1991,19.8,19.8
11,1,1991,20.2,20.2
12,1,1991,19.4,20.2
13,1,1991,17,17.4
14,1,1991,22.6,22.2
15,1,1991,21.4,21.2
16,1,1991,20,19.8
17,1,1991,21.6,21
18,1,1991,17.8,17.8
19,1,1991,17.9,18.2
20,1,1991,19,19
21,1,1991,19.6,19.2
22,1,1991,21,20.8
23,1,1991,21.3,21.4
24,1,1991,19.7,20.2
25,1,1991,20.7,21
26,1,1991,18.6,20.2
27,1,1991,18,17.4
28,1,1991,20.6,18.4
29,1,1991,18.8,18.6
30,1,1991,20.2,18.4
31,1,1991,21.8,20.2
1,2,1991,21,20.8
2,2,1991,20,20.2
3,2,1991,20.2,20.4
4,2,1991,19.8,19.8
5,2,1991,19,19
6,2,1991,18.8,18.2
7,2,1991,19.8,19.4
8,2,1991,19,20.2
9,2,1991,20.2,20
10,2,1991,20.4,20.6
11,2,1991,19.6,19.8
12,2,1991,19.8,20.2
13,2,1991,20,20
14,2,1991,18,18.4
15,2,1991,20.2,20.6
16,2,1991,20.2,20.8
17,2,1991,19,19.8
18,2,1991,20.4,20.6
19,2,1991,18,18.2
20,2,1991,16.4,17
21,2,1991,18.2,18
22,2,1991,19.4,19.4
23,2,1991,19.2,21
24,2,1991,16.6,16.2
25,2,1991,16.8,16.2
26,2,1991,18,17.8
27,2,1991,18.4,18
28,2,1991,19.8,20
1,3,1991,19,19
2,3,1991,19.6,19.4
3,3,1991,20.4,21
4,3,1991,19.2,19.2
5,3,1991,20.2,20.2
6,3,1991,20,21.4
7,3,1991,19.4,19.4
8,3,1991,20.3,20.2
9,3,1991,19.4,19.6
10,3,1991,19,19.4
11,3,1991,19.8,19.8
